,lr,embedding_dim,batch_size,prop,subevent,role,causation,exp,epoch,best_epoch,AMR,MRR,H@1,H@3,H@5,H@10,exp_count,method,td,syntax
64,0.001,192.0,192.0,1.0,1.0,0.0,1.0,lr_0.001_ed_192_bs_192_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,851,0.0422388399437912,0.280493947926603,0.1888646288209607,0.3209606986899563,0.3679039301310043,0.4410480349344978,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
65,0.0005,160.0,960.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_160_bs_960_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,988,0.2085650441485938,0.0676666237677013,0.0136986301369863,0.0376712328767123,0.0993150684931506,0.1643835616438356,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
66,0.002,192.0,192.0,0.0,0.0,0.0,1.0,lr_0.002_ed_192_bs_192_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,946,265,0.1836089757960125,0.0661103548856813,0.0136986301369863,0.0376712328767123,0.0993150684931506,0.1883561643835616,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
67,0.0005,160.0,192.0,0.0,0.0,0.0,1.0,lr_0.0005_ed_160_bs_192_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,833,0.0971919903386533,0.2079661843056831,0.0993150684931506,0.2465753424657534,0.3184931506849315,0.4041095890410959,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
68,0.0005,224.0,256.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_224_bs_256_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,977,0.1055868424714403,0.1018347157887541,0.0414847161572052,0.1048034934497816,0.1353711790393013,0.2139737991266375,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
69,0.002,160.0,256.0,0.0,1.0,0.0,1.0,lr_0.002_ed_160_bs_256_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,707,0.1369724697227094,0.0252794744988278,0.0,0.0,0.0032751091703056,0.0655021834061135,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
70,0.0005,224.0,960.0,1.0,1.0,0.0,1.0,lr_0.0005_ed_224_bs_960_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,887,0.0474187422253169,0.3350744994947137,0.2489082969432314,0.3755458515283842,0.4213973799126637,0.490174672489083,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
71,0.0005,160.0,896.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_160_bs_896_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,988,0.0716450835368299,0.196112363762996,0.1037117903930131,0.2139737991266375,0.2762008733624454,0.3853711790393013,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
72,0.002,192.0,896.0,1.0,1.0,0.0,1.0,lr_0.002_ed_192_bs_896_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,984,937,0.0703675487983416,0.0612823379732353,0.0163755458515283,0.0502183406113537,0.0829694323144104,0.1419213973799126,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
73,0.002,224.0,960.0,1.0,0.0,0.0,1.0,lr_0.002_ed_224_bs_960_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,962,0.0668002003004506,0.2357060240098121,0.1506849315068493,0.25,0.3287671232876712,0.3938356164383562,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
74,0.001,192.0,896.0,1.0,0.0,0.0,1.0,lr_0.001_ed_192_bs_896_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,923,0.0538700358229652,0.2752735728987402,0.1917808219178082,0.3047945205479452,0.3356164383561644,0.410958904109589,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
75,0.002,160.0,256.0,1.0,0.0,0.0,1.0,lr_0.002_ed_160_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,809,0.0857578675705866,0.2106681170752742,0.1404109589041096,0.2191780821917808,0.2636986301369863,0.339041095890411,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
76,0.0001,224.0,256.0,0.0,0.0,0.0,1.0,lr_0.0001_ed_224_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,979,0.1648865008714014,0.1726584654954169,0.0856164383561643,0.1917808219178082,0.2602739726027397,0.3493150684931507,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
77,0.0001,160.0,256.0,0.0,0.0,0.0,1.0,lr_0.0001_ed_160_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,990,0.1689795564169131,0.1362334193096337,0.0342465753424657,0.1712328767123287,0.2431506849315068,0.3321917808219178,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
78,0.002,224.0,192.0,1.0,0.0,0.0,1.0,lr_0.002_ed_224_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,52,0.3589461114749047,0.0148202736701526,0.0,0.0,0.0,0.0034246575342465,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
79,0.0005,160.0,256.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_160_bs_256_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,977,0.0727317580630281,0.2062831955061103,0.1200873362445414,0.222707423580786,0.2860262008733624,0.3799126637554585,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
80,0.001,224.0,960.0,1.0,0.0,0.0,1.0,lr_0.001_ed_224_bs_960_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,914,0.0607788605985901,0.2752787032172382,0.2020547945205479,0.3013698630136986,0.3356164383561644,0.3938356164383562,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
81,0.002,192.0,256.0,1.0,0.0,0.0,1.0,lr_0.002_ed_192_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,663,64,0.3872578097916104,0.0748196410504232,0.0410958904109589,0.0753424657534246,0.1095890410958904,0.1301369863013698,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
82,0.0001,224.0,256.0,1.0,0.0,0.0,1.0,lr_0.0001_ed_224_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,775,0.0688032048072108,0.2516375007072212,0.1746575342465753,0.2705479452054795,0.3082191780821918,0.4006849315068493,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
83,0.002,160.0,192.0,0.0,0.0,0.0,1.0,lr_0.002_ed_160_bs_192_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,884,0.1581250045197168,0.0716226156892849,0.0,0.0650684931506849,0.1198630136986301,0.2260273972602739,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
84,0.001,160.0,256.0,0.0,0.0,0.0,1.0,lr_0.001_ed_160_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,693,0.1624060802846336,0.0679038996519251,0.0,0.0890410958904109,0.1061643835616438,0.2260273972602739,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
85,0.0005,224.0,256.0,1.0,0.0,0.0,1.0,lr_0.0005_ed_224_bs_256_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,738,0.0622610839335927,0.2676692735178044,0.1643835616438356,0.3219178082191781,0.3664383561643836,0.4520547945205479,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
